,SMILES,mu,alpha,homo,lumo,gap,r2,zpve,U0,U,H,G,Cv
QM9[55273],CC(=O)[C@H]1CC[C@]1(C)O,2.3871,79.04,-0.2362,-0.01,0.2262,1196.6156,0.179454,-424.245072,-424.234957,-424.234013,-424.280093,37.485
QM9[8191],C[C@@]1(O)[C@H]2CC[C@]21C,1.1715,75.33,-0.2355,0.0748,0.3103,913.665,0.175742,-348.980097,-348.971577,-348.970632,-349.012048,33.315
QM9[46229],C#C[C@@H]1N[C@@]12CCC2=O,4.031,77.78,-0.2365,-0.0346,0.2019,1127.1617,0.122307,-400.687546,-400.679096,-400.678152,-400.720986,31.492
QM9[46495],O=C1C=CC2(CC2)CO1,5.2213,77.2,-0.2595,-0.0442,0.2152,1141.9221,0.13728,-421.858673,-421.851169,-421.850225,-421.890743,29.203
QM9[97301],C/N=C/N1C[C@@H](C)C1=O,4.5723,85.02,-0.2397,-0.0159,0.2237,1523.6896,0.157939,-419.232464,-419.222799,-419.221855,-419.267586,33.884
QM9[95306],C[C@H]1CO[C@@H]2C[C@H]1CO2,2.3816,76.45,-0.2485,0.0767,0.3252,1023.2772,0.185935,-424.248495,-424.240983,-424.240039,-424.280019,30.768
QM9[85198],C#CC[C@@H]1C(=O)O[C@@H]1C,4.183,73.91,-0.2637,0.007,0.2707,1283.0701,0.133904,-421.822727,-421.813629,-421.812685,-421.857179,32.871
QM9[107010],C[C@@H]1[C@H](O)[C@]2(CO)O[C@H]12,1.7878,71.42,-0.2462,0.0566,0.3028,1196.8294,0.157281,-460.118292,-460.108848,-460.107904,-460.152594,34.709
QM9[98099],COC(=O)[C]([NH])N1CC1,1.4696,72.71,-0.247,-0.0408,0.2062,1319.261,0.134853,-455.139001,-455.129735,-455.128791,-455.174235,32.129
QM9[43835],O=C1NC2(CC2)[C@H]2C[C@@H]12,3.8707,77.06,-0.228,0.0301,0.2581,1073.3101,0.14914,-401.966882,-401.959328,-401.958384,-401.998842,30.311
QM9[123369],C#CCNc1cnn[nH]1,5.353,72.39,-0.2213,0.0094,0.2307,1258.1647,0.11341,-412.934233,-412.926003,-412.925059,-412.968062,29.964
QM9[17900],O[C@@H]1[C@@H]2COC[C@H]1N2,3.4818,63.54,-0.2273,0.0611,0.2885,755.7439,0.144532,-400.958417,-400.951502,-400.950558,-400.989456,26.644
QM9[104749],CC[C@@]1(CO)C[C@H]1C#N,4.7785,79.95,-0.2776,0.0289,0.3065,1284.2832,0.16992,-403.153587,-403.143664,-403.14272,-403.188437,36.293
QM9[101690],CC1(C[C@@H](O)CO)CC1,2.4146,81.85,-0.253,0.0562,0.3092,1582.1057,0.204051,-425.411563,-425.401103,-425.400159,-425.447147,39.28
QM9[104350],OC[C@]1(O)CN=COC1,4.1378,68.05,-0.2438,0.0306,0.2744,1116.0564,0.148094,-476.222753,-476.214124,-476.21318,-476.255816,32.505
QM9[7659],CC1(C)[C@@H]2O[C@H]1[C@@H]2O,1.6731,68.26,-0.2417,0.0602,0.3019,877.0129,0.151896,-384.864244,-384.856206,-384.855262,-384.895942,31.13
QM9[109803],OC[C@H]1[C@@H](O)[C@H]1[C@H]1CN1,2.1239,74.84,-0.2271,0.0532,0.2803,1202.5947,0.172047,-440.224737,-440.215827,-440.214883,-440.258408,33.978
QM9[123502],c1cnn2nncc2n1,4.627,70.32,-0.2606,-0.1016,0.1591,868.2475,0.081569,-427.837715,-427.832212,-427.831268,-427.867595,21.611
QM9[114325],CO[C@H]1C[C@H]2[C@@H](O)[C@@]12C,2.5522,79.01,-0.2351,0.0745,0.3095,1173.4599,0.181332,-424.189715,-424.1803,-424.179356,-424.22347,35.636
QM9[104616],COC1(C[C@@H](C)O)CC1,1.4812,82.41,-0.2434,0.0726,0.316,1423.5658,0.202705,-425.402872,-425.392107,-425.391163,-425.438808,39.716
QM9[38781],C1[C@@H]2CN3[C@H]([C@@H]4O[C@H]14)[C@H]23,2.7446,72.91,-0.2292,0.067,0.2962,873.7888,0.151242,-401.887846,-401.881604,-401.88066,-401.91806,26.614
QM9[6196],CC1(C)COC(=O)O1,5.3093,60.5,-0.2871,0.0449,0.332,885.7893,0.129969,-420.943691,-420.93603,-420.935085,-420.975661,28.248
QM9[36919],C1=C[C@@H](CC2CC2)OC1,1.3827,85.29,-0.2282,0.0184,0.2465,1519.1034,0.182985,-387.079388,-387.070702,-387.069758,-387.113717,32.618
QM9[111931],CO[C@H]1[CH][C]2CN3[C@H]2[C@H]13,1.5513,80.41,-0.2145,-0.0381,0.1765,1096.6937,0.147473,-401.805608,-401.798039,-401.797094,-401.837716,29.471
QM9[123236],COCCOCCC=O,2.7754,78.93,-0.2549,-0.0265,0.2283,2703.0001,0.17844,-461.34516,-461.333832,-461.332888,-461.384165,36.865
QM9[29870],Cn1cnc(=O)c(O)c1,6.6819,73.09,-0.2207,-0.0266,0.1942,1122.2226,0.114572,-454.006984,-453.999341,-453.998397,-454.039289,28.487
QM9[70568],C[C@]12C[C@H]1CO[C@H]1C[C@H]12,1.3806,81.6,-0.2346,0.0875,0.3222,1051.3468,0.184178,-387.069099,-387.061335,-387.060391,-387.100679,32.232
QM9[37318],C1[C@H]2[C@H]3C[C@H]3[C@H]3C[C@H]3[C@@H]12,0.4122,83.59,-0.2396,0.067,0.3065,989.5322,0.186474,-349.921264,-349.914363,-349.913419,-349.951989,30.278
QM9[78],COC(N)=O,2.329,35.5,-0.2669,0.0575,0.3244,398.5908,0.079271,-284.385189,-284.379361,-284.378417,-284.414085,19.084
QM9[108739],CCC1=CC(=O)NC1=O,1.9768,73.89,-0.2652,-0.0871,0.1781,1229.5584,0.124728,-437.976162,-437.967766,-437.966822,-438.009712,30.555
QM9[65913],O=CC(=O)C1(O)CCC1,1.0525,69.03,-0.2467,-0.1065,0.1403,1102.6627,0.133541,-458.966212,-458.95735,-458.956405,-459.000275,32.384
QM9[8856],C[C@@H](CO)C(=O)C#N,3.7768,62.62,-0.2861,-0.0869,0.1992,1104.2885,0.116317,-399.814633,-399.805535,-399.80459,-399.848943,30.871
QM9[53677],CC#CCCCC#CC,0.282,98.09,-0.2362,0.0499,0.2861,2739.9691,0.178941,-349.918304,-349.906338,-349.905394,-349.959929,39.2
QM9[74957],CC1=C[C@H]2C[C@]1(C)CO2,1.8665,82.58,-0.229,0.0181,0.2471,1038.7054,0.183517,-387.10262,-387.094444,-387.093499,-387.134641,33.032
QM9[64051],CC1(C)CN=COC1=O,2.103,71.76,-0.2738,-0.0261,0.2477,1020.003,0.147316,-439.139308,-439.130737,-439.129793,-439.172173,32.248
QM9[76021],CN1[C@@H](C#N)[C@]1(C)C#N,2.4623,75.66,-0.276,-0.0252,0.2508,1161.9277,0.122327,-396.922255,-396.912833,-396.911888,-396.956376,33.249
QM9[117384],COCC(=O)CN1CC1,2.8985,76.96,-0.2304,-0.0156,0.2149,1613.8876,0.168266,-440.246394,-440.236396,-440.235452,-440.282749,34.945
QM9[39180],C1=CC[C]2[N]C[C@@H]2OC1,2.6466,78.73,-0.2382,-0.0042,0.234,1074.1185,0.149327,-401.922418,-401.914901,-401.913957,-401.95464,28.998
QM9[82405],C[C@@H]1C(=O)CC[C@@H]2N[C@@H]21,4.0437,78.31,-0.2338,-0.0068,0.227,1094.7954,0.172619,-403.162403,-403.154081,-403.153136,-403.195441,32.113
QM9[98897],COC(=O)C1CCCC1,1.5949,79.5,-0.2648,0.0181,0.2829,1465.1199,0.183521,-424.281442,-424.271956,-424.271012,-424.317955,33.609
QM9[32663],CCc1cncn1CC,4.0698,85.13,-0.2094,0.0342,0.2436,1264.0569,0.183816,-383.319596,-383.310208,-383.309264,-383.354222,34.34
QM9[34259],N#C[C@@]12C[C@H]3CCN1[C@H]32,5.3068,76.96,-0.2646,0.0123,0.2769,1039.9067,0.13888,-380.852516,-380.845625,-380.844681,-380.88373,27.547
QM9[21491],N=C(N)c1cnon1,0.9433,57.9,-0.2524,-0.0685,0.1839,885.6332,0.08507,-410.804788,-410.798016,-410.797072,-410.836353,24.586
QM9[96636],C/N=C(\C)N(C)C(N)=O,2.4842,81.54,-0.2285,0.0085,0.2369,1384.5774,0.169188,-436.507411,-436.496666,-436.495722,-436.544001,38.028
QM9[80543],C[C@@H]1[C@H]2[C@@H](O)[C@@H]1C[C@H]2C,1.2749,85.08,-0.2548,0.0792,0.334,1175.0539,0.206906,-388.280624,-388.271698,-388.270754,-388.313363,35.787
QM9[126827],CCn1ncncc1=O,1.852,74.52,-0.2471,-0.0806,0.1665,1089.4958,0.125859,-434.099306,-434.091449,-434.090505,-434.132248,28.808
QM9[58066],CC(C)C(N)(C#N)C#N,3.8799,76.35,-0.2933,-0.017,0.2763,1143.8904,0.145805,-398.146858,-398.136619,-398.135675,-398.181578,36.877
QM9[113793],CCN1C[C@H]1C1(C)CC1,1.2385,90.24,-0.2175,0.0857,0.3032,1422.7334,0.216281,-368.370279,-368.360235,-368.35929,-368.405346,38.256
QM9[102222],CC/C(=N\C)NC(N)=O,4.0314,80.71,-0.2375,0.0054,0.2429,1472.7028,0.169927,-436.526009,-436.51529,-436.514345,-436.563004,37.556
QM9[32929],CCOc1ccc(N)[nH]1,1.367,80.1,-0.1785,0.0575,0.2359,1431.6556,0.159435,-419.228916,-419.219363,-419.218418,-419.264297,34.714
QM9[72031],C[C@@]12C[C@H]3C[C@]1(O)[C@@H]2O3,0.627,73.46,-0.2159,0.0723,0.2882,958.9997,0.160405,-423.023726,-423.016124,-423.01518,-423.055158,31.117
QM9[31865],Nc1ccc(CO)nc1,1.5198,80.75,-0.2039,-0.0107,0.1932,1349.5025,0.137584,-418.060472,-418.051947,-418.051003,-418.094153,31.778
QM9[29338],C#Cc1c(C)c[nH]c1C,2.6316,89.54,-0.1948,0.02,0.2148,1216.877,0.146421,-364.838656,-364.829092,-364.828148,-364.872919,35.118
QM9[127359],Cn1cnc2n[nH]cc21,5.5761,73.92,-0.2126,-0.0026,0.21,1003.1946,0.116794,-413.01057,-413.003545,-413.002601,-413.042123,26.588
QM9[12314],CC1=C(C)COCC1,1.3987,78.5,-0.225,0.0303,0.2553,1022.7229,0.177139,-349.023283,-349.014779,-349.013835,-349.056,31.676
QM9[15240],CO[C@H]1[C@@H](C)[C@H]1C#N,4.0995,69.63,-0.2586,0.0299,0.2885,956.4259,0.140811,-363.855756,-363.846984,-363.846039,-363.889126,30.838
QM9[106212],CO[C@@]12C=C[C@H]3[C@@H]1N[C@H]32,1.4517,75.99,-0.2251,-0.0008,0.2243,974.3386,0.148218,-401.851956,-401.844622,-401.843678,-401.883646,29.526
QM9[130285],Nc1noc(OC=O)n1,3.282,59.67,-0.253,-0.0447,0.2083,1313.7217,0.077277,-505.95883,-505.951047,-505.950103,-505.992043,27.195
QM9[10186],CCN[C@H](C#N)CN,4.6825,73.13,-0.2341,0.0338,0.2678,1270.2382,0.165657,-361.241279,-361.231654,-361.23071,-361.276021,33.774
QM9[130551],C#CC(=O)c1cnon1,1.5797,65.11,-0.2966,-0.1041,0.1925,1123.4021,0.064475,-451.472341,-451.464969,-451.464025,-451.505048,25.843
QM9[51416],O=CN[C@H]1[C@@H]2C=C[C@H]1C2,3.5423,79.29,-0.2365,0.0031,0.2395,1211.4117,0.149475,-401.936423,-401.928872,-401.927927,-401.96912,29.522
QM9[17634],CC(=O)[C@@H](O)[C@H]1CO1,3.0999,61.11,-0.264,-0.0289,0.2351,954.1431,0.127853,-420.868579,-420.860135,-420.859191,-420.902184,29.866
QM9[114857],CO[C@@H]1[CH][C]2CC[C@@H]2C1,0.8515,87.26,-0.2283,0.0203,0.2486,1374.2486,0.183172,-387.06352,-387.055018,-387.054073,-387.096864,32.663
QM9[131748],[NH]C1=N[CH]C(CO)=NO1,5.3495,70.44,-0.254,-0.0941,0.1599,1242.9729,0.099835,-469.957579,-469.949401,-469.948456,-469.991847,28.862
QM9[7792],C[C@H]1CCOC(=O)N1,5.362,65.24,-0.2496,0.0546,0.3042,953.1751,0.144065,-401.058379,-401.05082,-401.049876,-401.090447,28.235
QM9[38515],C1[C@@H]2O[C]3[N][C@H]1[C@@H]1[C@H]2N31,4.0723,65.68,-0.2206,-0.0642,0.1565,699.6207,0.115328,-416.704754,-416.699584,-416.69864,-416.733866,23.075
QM9[32796],CCNc1ncoc1C,1.8468,80.7,-0.188,0.0151,0.2031,1457.8371,0.159395,-419.243142,-419.23371,-419.232765,-419.278437,33.416
QM9[48490],N#CC1(C=O)OCCO1,5.8247,62.39,-0.2812,-0.0614,0.2198,1027.7983,0.099237,-473.822841,-473.814457,-473.813513,-473.856898,28.755
QM9[115921],CC[C@H]1OC[C@H]2C[C@H]2O1,1.5789,78.62,-0.2465,0.0873,0.3337,1275.0967,0.183226,-424.220432,-424.211896,-424.210952,-424.253665,32.953
QM9[5398],COc1ccccc1,1.2422,75.11,-0.2155,0.0034,0.219,976.7483,0.132764,-346.664711,-346.657855,-346.656911,-346.695744,26.352
QM9[11915],C[C@H]1OCC2(CC2)O1,0.9993,68.37,-0.2454,0.0896,0.335,962.1671,0.153398,-384.931974,-384.924238,-384.923293,-384.964373,29.025
QM9[25614],O=COCc1ccoc1,4.0744,67.82,-0.2367,0.0021,0.2388,1392.6031,0.11262,-457.804053,-457.79602,-457.795076,-457.838675,28.05
QM9[56204],NC(=O)COC1CCC1,3.2054,75.81,-0.2332,0.0344,0.2676,1476.5355,0.170441,-440.300656,-440.291118,-440.290174,-440.336657,34.69
QM9[9122],CCC#CC(=O)CC,3.5498,79.98,-0.2517,-0.0422,0.2095,1650.9158,0.150747,-347.807845,-347.797844,-347.796899,-347.846483,33.437
QM9[87991],C[C@H]1N[C@@]12CC[C@]2(C)O,2.672,82.7,-0.2306,0.0655,0.2961,1211.9115,0.192531,-404.322538,-404.312713,-404.311769,-404.356584,37.652
QM9[49554],O=C[C@@H]1[C@@H]2C[C@H]1CCO2,3.5409,76.18,-0.2399,-0.024,0.2159,1150.8042,0.160795,-423.017431,-423.009731,-423.008787,-423.049958,29.805
QM9[18565],O=C1N[C@H]2COC[C@@H]12,3.813,60.85,-0.2489,0.027,0.2759,783.9955,0.121324,-399.823098,-399.816725,-399.815781,-399.853688,24.381
QM9[51682],O=CN[C@H]1CC=CC1=O,2.4255,72.26,-0.2556,-0.0604,0.1952,1195.0727,0.125101,-437.945979,-437.937941,-437.936997,-437.979418,29.233
QM9[110734],C[C@@]12C(=O)O[C@@H]1[C@@H]2CO,3.4447,68.58,-0.2685,-0.0026,0.266,1166.9349,0.134457,-458.955934,-458.947063,-458.946119,-458.989926,32.122
QM9[15772],C#CC[C@H](C)[C@H]1CO1,1.7879,73.8,-0.2608,0.0535,0.3143,1215.0367,0.151227,-347.75176,-347.742825,-347.741881,-347.785538,32.363
QM9[77085],CC1(C)O[C@@H](C=O)[C@H]1O,4.2562,72.18,-0.2422,-0.0289,0.2133,1221.7723,0.15499,-460.156064,-460.146027,-460.145083,-460.191325,36.067
QM9[122704],C#CC/N=C/OCCC,2.8133,84.98,-0.2463,0.0246,0.2709,1933.1592,0.167678,-403.110529,-403.099843,-403.098899,-403.147794,37.232
QM9[105281],CC[C@@]1(C#N)N[C@H]1C=O,2.5606,75.6,-0.2693,-0.0557,0.2136,1312.6151,0.134101,-418.004833,-417.995397,-417.994452,-418.039707,33.244
QM9[46628],O=C1CO[C]2[N]CC[C@H]21,1.6763,69.79,-0.2507,-0.0434,0.2073,1039.2643,0.1262,-437.9173,-437.910212,-437.909268,-437.949128,27.073
QM9[107941],CC[C@]12C[C@@H]3N1[C@]3(C)C2,1.5658,85.97,-0.2346,0.0769,0.3115,1245.2931,0.194199,-367.176346,-367.167523,-367.166579,-367.209492,34.484
QM9[57800],C[C@@H](O)C#CCC(N)=O,2.9513,78.32,-0.2422,0.0245,0.2667,1886.2033,0.145057,-439.09345,-439.082753,-439.081809,-439.131403,37.222
QM9[89055],C[C@H]1C[C@H]1OC[C@H]1CN1,1.5127,83.08,-0.2392,0.0751,0.3143,1500.3217,0.193395,-404.29273,-404.28301,-404.282066,-404.328589,35.662
QM9[123901],C1CNc2[nH]nnc2C1,5.1278,73.95,-0.2109,0.0126,0.2235,1042.2764,0.140906,-414.197414,-414.190489,-414.189545,-414.228661,27.607
QM9[126162],CC[C@@H](C)n1nccn1,0.7613,81.4,-0.2539,0.0043,0.2581,1348.9691,0.17226,-399.34778,-399.338721,-399.337777,-399.382647,32.8
QM9[1940],C#C[C@H]1CC(=O)N1,3.3428,57.29,-0.2543,0.0197,0.274,768.6877,0.089343,-323.360126,-323.353484,-323.35254,-323.390922,24.013
QM9[49953],N#CC1(C#N)O[C@@H]1C=O,1.9732,62.77,-0.3031,-0.0962,0.2069,1140.5023,0.062899,-451.525145,-451.516862,-451.515918,-451.558787,28.058
QM9[10984],C[C@@]12C[C@@H](CO1)[C@H]2O,2.7331,67.44,-0.2309,0.0702,0.3011,803.229,0.154186,-384.922303,-384.914956,-384.914012,-384.953252,29.141
QM9[65381],C[C@@]1(C=O)N[C@H]1[C@H]1CO1,0.8964,75.11,-0.2619,-0.0353,0.2265,1366.2315,0.145333,-439.046203,-439.037027,-439.036083,-439.080897,32.88
QM9[92779],C[C@H]1CC=C(C=O)[C@H]1C,3.3104,86.81,-0.2465,-0.0532,0.1933,1297.8063,0.182162,-387.129288,-387.120081,-387.119137,-387.163054,34.787
QM9[116985],C#CC#CC(=O)CCC,2.8294,95.24,-0.2616,-0.0766,0.185,2088.599,0.131933,-384.65821,-384.647897,-384.646953,-384.695012,35.621
QM9[124566],CC(C)Cc1ncn[nH]1,2.9467,80.28,-0.2542,0.0147,0.269,1429.301,0.172502,-399.371811,-399.362711,-399.361767,-399.406898,33.117
QM9[11782],O=C[C@]12CC[C@H](C1)O2,2.6241,64.37,-0.2563,-0.0382,0.218,840.8916,0.130998,-383.726978,-383.72018,-383.719236,-383.758299,25.831
QM9[48357],N#CC(=O)[C@]1(C=O)CN1,2.7865,65.08,-0.2873,-0.101,0.1863,1116.5766,0.087495,-452.738888,-452.730413,-452.729468,-452.772822,29.139
QM9[36387],C#CC[C@@H]1O[C@@H]1CC#C,2.0567,81.24,-0.2617,0.0425,0.3043,1686.8708,0.132029,-384.595845,-384.586183,-384.585238,-384.631437,34.745
QM9[22954],O=CO[C@@H]1CC/C1=N\O,4.0523,71.25,-0.263,-0.0219,0.2411,1393.7954,0.122014,-474.983798,-474.974781,-474.973837,-475.019415,31.379
QM9[73760],CC1=C(C)C(=O)C(=O)C1,5.5698,78.97,-0.227,-0.0848,0.1422,1196.9668,0.133882,-421.888078,-421.878873,-421.877929,-421.922746,32.586
QM9[13777],CC(C)[C@H]1N[C@H]1C=O,3.1313,73.07,-0.2479,-0.0266,0.2213,1160.0386,0.163658,-365.053346,-365.044308,-365.043363,-365.087311,32.604
QM9[100360],C[C@@](C#N)(CN)O[CH][NH],3.1604,75.11,-0.2541,0.006,0.2602,1233.74,0.145671,-435.265051,-435.254798,-435.253854,-435.300356,36.178
QM9[89587],OC1CC2(CCCC2)C1,1.5854,84.64,-0.2536,0.0729,0.3266,1359.3518,0.207243,-388.297156,-388.288233,-388.287289,-388.331875,34.718
QM9[49421],O=C[C@H]1[C@H]2[C@H]3C[C@@H]1C[C@H]32,2.5252,77.46,-0.2443,-0.0192,0.2251,990.1299,0.16199,-385.911889,-385.904951,-385.904007,-385.943417,28.156
QM9[6063],C/C(N)=N/CC(=O)O,7.5854,64.74,-0.2455,0.0078,0.2533,1267.4784,0.129228,-417.111817,-417.102873,-417.101929,-417.146017,31.4
QM9[74558],C#C[C@@H]1[C@@H]2C=C(C)CN21,1.5859,83.35,-0.2142,0.0094,0.2236,1073.6716,0.146941,-364.763299,-364.754996,-364.754051,-364.795936,32.196
QM9[99562],C#C[C@H](N)[C@H](C#N)OC,2.9467,75.04,-0.2576,0.0065,0.2641,1269.8073,0.133298,-417.957315,-417.947071,-417.946127,-417.99281,35.897
QM9[55805],NC(=O)CN1[C@H]2C[C@@H]1C2,3.9727,77.26,-0.2279,0.042,0.2699,1313.7097,0.159992,-419.161914,-419.153585,-419.152641,-419.195745,31.916
QM9[80410],C[C@@H]1C(=O)[C@@]2(C)C[C@@H]1O2,2.591,75.1,-0.227,-0.0161,0.2109,1042.7657,0.158398,-423.034435,-423.025948,-423.025004,-423.067185,32.525
QM9[96503],C[C@H]1CCOCCC1=O,1.9782,78.59,-0.2366,-0.0111,0.2254,1207.7933,0.183284,-424.252324,-424.243416,-424.242472,-424.28593,33.766
QM9[1541],CCC[C@@H](N)C#N,2.9389,65.32,-0.2685,0.0292,0.2977,1073.8323,0.148373,-305.915175,-305.906665,-305.905721,-305.948239,29.747
QM9[28540],Nc1ncc(O)cc1O,3.9539,73.98,-0.1855,-0.0063,0.1791,1144.6832,0.113794,-454.005099,-453.997053,-453.996109,-454.037119,31.434
QM9[45830],O=C1OC=N[C@H]2CO[C@@H]12,2.9786,62.47,-0.2712,-0.0475,0.2237,929.0126,0.102557,-473.832158,-473.825324,-473.82438,-473.864096,25.202
QM9[93178],C[C@H]1CNC([NH])=C([NH])O1,4.8141,76.48,-0.2288,-0.029,0.1998,1182.3276,0.149659,-435.294285,-435.285887,-435.284943,-435.327452,31.848
QM9[95838],C#C[C@@H]1CCO[C@@H](C)C1,0.8426,83.92,-0.2413,0.0512,0.2925,1228.123,0.182634,-387.075477,-387.066506,-387.065562,-387.108768,34.999
QM9[19629],C1[C@@H]2N3[C@H]1[C@@H]3[C@]21CO1,3.0236,63.96,-0.2452,0.0711,0.3163,748.3617,0.120064,-362.569059,-362.563205,-362.562261,-362.598783,23.594
QM9[39845],C1N[C@@]12[C@H]1N[C@H]1[C@H]1O[C@H]12,2.0182,71.46,-0.2375,0.0603,0.2978,948.5854,0.138028,-417.924756,-417.917986,-417.917042,-417.955758,27.708
QM9[37717],C1=C[C@]23CN4[C@H]2[C@H](C1)[C@@H]43,1.9581,79.87,-0.224,0.0069,0.2309,897.1978,0.150531,-364.716456,-364.710356,-364.709412,-364.746441,26.531
QM9[99163],CCC(=O)CC1COC1,3.3837,78.89,-0.2412,-0.0155,0.2256,1715.4784,0.180449,-424.228724,-424.218596,-424.217652,-424.265821,35.011
QM9[54874],C1=CNC=NC1.O=C=O,2.843,66.75,-0.2,0.008,0.208,1725.5663,0.111921,-454.014104,-454.004573,-454.003629,-454.054696,30.234
QM9[83735],C[C@@H]1[C@H]2[C@@H]1COC21CC1,1.3875,82.49,-0.2236,0.0804,0.304,1080.8789,0.183314,-387.070486,-387.062287,-387.061343,-387.1029,32.785
QM9[105813],CN1[C@H]2[C@H]3N[C@H]3[C@]21CO,1.9184,75.59,-0.204,0.0553,0.2593,1097.5705,0.158199,-419.081568,-419.072835,-419.071891,-419.11507,33.241
QM9[98631],O=C(CO)[C@H]1[C@H]2CO[C@H]21,4.0897,70.29,-0.247,-0.0274,0.2196,1256.8811,0.134854,-458.92226,-458.914023,-458.913079,-458.955815,30.473
QM9[117916],N#CC(=O)[C@H](O)CCO,2.8776,67.99,-0.2778,-0.1024,0.1754,1479.9927,0.121142,-475.028162,-475.018096,-475.017152,-475.064244,34.244
QM9[97833],O=C1CC[C@@H]1C#CCO,2.3133,80.02,-0.2386,-0.0272,0.2114,1780.0842,0.133857,-421.795798,-421.786261,-421.785317,-421.832609,33.096
QM9[23087],O/N=C1\[C@@H]2N[C@@H]3[C@H]1[C@]23O,3.0891,69.49,-0.2233,0.0185,0.2418,1062.1568,0.112347,-453.803915,-453.796379,-453.795435,-453.835791,29.576
QM9[57534],CC(C)(O)CC1CCC1,1.2241,89.22,-0.2552,0.063,0.3182,1551.5427,0.227095,-389.491132,-389.48056,-389.479616,-389.526731,40.324
QM9[131083],O=COCc1ncn[nH]1,1.7844,63.89,-0.2732,-0.0158,0.2574,1352.6463,0.102507,-470.043713,-470.035875,-470.034931,-470.07825,26.659
QM9[30136],C[C@H]1N[C@H]1c1ccoc1,2.0028,78.13,-0.2157,0.0215,0.2372,1236.7633,0.149025,-401.951195,-401.943167,-401.942223,-401.984322,30.423
QM9[40643],C1CC1[C@@H]1[C@@H]2COC[C@@H]21,1.4256,82.53,-0.2435,0.0824,0.3259,1209.0817,0.184738,-387.064842,-387.056875,-387.055931,-387.097666,31.278
QM9[4201],O/N=C1\[C@@H]2C[C@H]1CO2,1.5306,65.07,-0.2407,0.0057,0.2464,850.8724,0.119802,-399.716892,-399.710318,-399.709374,-399.747567,25.602
QM9[95705],C[C@H]1CO[C]([NH])CCO1,2.5186,77.48,-0.2541,0.0269,0.281,1247.0097,0.171918,-440.299482,-440.290855,-440.289911,-440.332862,32.951
QM9[64317],CC1(C)CCC=CCO1,1.1743,87.06,-0.2355,0.028,0.2636,1178.4392,0.205858,-388.300553,-388.291378,-388.290434,-388.333665,36.512
QM9[101956],OC[C@@H]([C@H]1CN1)N1CC1,3.8005,79.08,-0.2453,0.0677,0.313,1291.9711,0.18288,-420.334489,-420.325259,-420.324315,-420.36884,34.491
QM9[37983],C1CO[C@H]2[C@@H]3C[C@H]2N3C1,0.5537,79.36,-0.2053,0.0887,0.2941,1003.4255,0.173878,-403.068292,-403.061357,-403.060413,-403.099334,29.057
QM9[122172],CCOC[C@@]1(O)C[C@H]1C,1.9152,84.12,-0.239,0.0819,0.321,1721.9414,0.20286,-425.409181,-425.398313,-425.397368,-425.445711,39.433
QM9[64184],CC1(C)CC[C@]1(C)C=O,2.6158,85.56,-0.2427,-0.0208,0.2219,1170.7062,0.203036,-388.302895,-388.292729,-388.291785,-388.337277,38.8
QM9[121507],CCO/C=N/CCC#N,5.6708,83.44,-0.2644,0.0047,0.2691,2444.7427,0.157195,-419.223438,-419.21294,-419.211996,-419.261128,35.176
QM9[130019],Nc1nc2nocc2[nH]1,7.059,67.71,-0.2274,-0.0119,0.2154,1025.1771,0.092629,-448.926054,-448.919452,-448.918508,-448.956751,26.127
QM9[15506],[NH][CH]N1CCCC1=O,5.3313,68.32,-0.2352,-0.0135,0.2217,930.8925,0.132345,-379.965709,-379.958235,-379.957291,-379.99794,26.889
QM9[82272],C[C@@H]1C(C=O)=CN2C[C@H]12,2.7091,80.96,-0.2384,-0.0549,0.1834,1128.5469,0.148176,-401.94672,-401.938682,-401.937738,-401.979227,30.631
QM9[86794],N#CC[C@@H]1C[C@H](O)[C@@H]1O,4.4211,72.06,-0.2637,0.0338,0.2975,1382.2504,0.146977,-439.084645,-439.075353,-439.074408,-439.11945,33.68
QM9[93710],C#C[C@@]1(C)CC[C@H](C)C1,0.5234,90.93,-0.2553,0.0595,0.3148,1300.1517,0.204882,-351.149132,-351.139159,-351.138215,-351.184526,38.192
QM9[12713],C[C@]12CO[C@H]1CC2=O,1.9972,64.62,-0.2447,-0.0278,0.2169,821.7343,0.129278,-383.726087,-383.718628,-383.717684,-383.757858,27.598
QM9[34791],C#C[C@H]1N2CC1(C#N)C2,2.2071,77.16,-0.2633,-0.0052,0.2581,1079.6523,0.112779,-379.56346,-379.555826,-379.554881,-379.595694,29.219
QM9[84533],C[C@H]1C=C[C@H]2[C@@H]1N2C=O,3.7279,77.72,-0.2471,-0.008,0.239,1109.5082,0.147865,-401.952698,-401.944636,-401.943692,-401.985428,30.484
QM9[78814],O[C@H]1[C@@H]2[C@H]3[C@@H]2[C@H](O)[C@@]13O,1.5247,66.98,-0.2443,0.068,0.3123,955.2357,0.135635,-458.903685,-458.89592,-458.894976,-458.935349,31.381
QM9[76420],C#CC[C@@]1(C)[C@H](O)[C@@H]1O,2.3589,77.24,-0.2328,0.0437,0.2765,1307.4048,0.155557,-422.96581,-422.955603,-422.954659,-423.00079,37.734
QM9[126960],CCNc1n[nH]nc1N,1.1973,76.04,-0.1899,0.0198,0.2097,1415.4599,0.149464,-431.447725,-431.438276,-431.437331,-431.482572,33.592
